Name,urls
ANASTASIA,http://motherbox.chemeng.ntua.gr/anastasia_dev/
APOSTL,http://apostl.moffitt.org/
ARGs-OAP,http://smile.hku.hk/SARGs
BF2I-MAP,http://bf2i-galaxy.insa-lyon.fr:8080/
BioBix,http://galaxy.ugent.be/
CIRM-CFBP,https://iris.angers.inra.fr/galaxypub-cfbp
Center for Phage Technology (CPT),https://cpt.tamu.edu/galaxy-public/
ChemFlow,https://vm-chemflow-francegrille.eu/
Coloc-stats,https://hyperbrowser.uio.no/coloc-stats
CorGAT,http://corgat.cloud.ba.infn.it/galaxy
CropGalaxy,http://cropgalaxy.excellenceinbreeding.org/
Dintor,http://dintor.eurac.edu/
FreeBioinfo,http://www.freebioinfo.org/
GASLINI,http://igg.cloud.ba.infn.it/galaxy
